RowID,CrimeDateTime,Location,Description,Weapon,Gender,Age,Race,,District,Neighborhood,Latitude,Longitude
1,2022/11/12 11:05:00+00,1600 RUXTON AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,11,BLACK_OR_AFRICAN_AMERICAN,,WESTERN,COPPIN HEIGHTS/ASH-CO-EAST,39.3065,-76.655
2,2022/11/12 00:30:00+00,1600 MOUNTMOR CT,COMMON ASSAULT,UNKNOWN,F,21,BLACK_OR_AFRICAN_AMERICAN,,WESTERN,SANDTOWN-WINCHESTER,39.3077,-76.6446
3,2022/11/12 11:40:00+00,3200 E BALTIMORE ST,COMMON ASSAULT,,M,17,WHITE,,SOUTHEAST,PATTERSON PARK NEIGHBORHOOD,39.2925,-76.5715
4,2022/11/12 14:20:00+00,1600 W LEXINGTON ST,LARCENY,,M,38,BLACK_OR_AFRICAN_AMERICAN,,WESTERN,FRANKLIN SQUARE,39.2906,-76.6431
5,2022/11/12 15:20:00+00,3000 OAK HILL AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,39,BLACK_OR_AFRICAN_AMERICAN,,NORTHWEST,HOWARD PARK,39.3279,-76.7041
6,2022/11/12 15:29:00+00,1500 RALWORTH RD,AGG. ASSAULT,PERSONAL_WEAPONS,F,24,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,HILLEN,39.3391,-76.5929
7,2022/11/12 14:30:00+00,5800 REISTERSTOWN RD,LARCENY,,M,71,BLACK_OR_AFRICAN_AMERICAN,,NORTHWEST,GLEN,39.3505,-76.6941
8,2022/11/12 07:00:00+00,2100 DIVISION ST,AGG. ASSAULT,OTHER,F,47,BLACK_OR_AFRICAN_AMERICAN,,CENTRAL,DRUID HEIGHTS,39.3077,-76.6376
9,2022/11/12 06:10:00+00,100 N CARLTON ST,LARCENY FROM AUTO,,M,30,BLACK_OR_AFRICAN_AMERICAN,,WESTERN,POPPLETON,39.2904,-76.636
10,2022/11/12 00:00:00+00,5000 DENVIEW WAY,LARCENY FROM AUTO,,M,43,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,FRANKFORD,39.3247,-76.5334
11,2022/11/12 00:00:00+00,5000 DENVIEW WAY,LARCENY FROM AUTO,,F,50,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,FRANKFORD,39.3247,-76.5334
12,2022/11/12 00:00:00+00,5000 DENVIEW WAY,LARCENY FROM AUTO,,F,21,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,FRANKFORD,39.3247,-76.5334
13,2022/11/12 08:17:00+00,400 S SMALLWOOD ST,COMMON ASSAULT,,F,37,BLACK_OR_AFRICAN_AMERICAN,,SOUTHWEST,CARROLLTON RIDGE,39.2825,-76.6512
14,2022/11/12 15:35:00+00,SMALLWOOD ST & W NORTH AV,AGG. ASSAULT,BLUNT_OBJECT,M,58,BLACK_OR_AFRICAN_AMERICAN,,WESTERN,EASTERWOOD,39.3096,-76.6527
15,2022/11/12 11:50:11+00,5800 YORK RD,AGG. ASSAULT,HANDGUN,F,55,BLACK_OR_AFRICAN_AMERICAN,,NORTHERN,ROSEBANK,39.3611,-76.61
16,2022/11/12 16:38:00+00,1000 CHERRY HILL RD,RAPE,,F,30,BLACK_OR_AFRICAN_AMERICAN,,SOUTHERN,CHERRY HILL,39.25,-76.6281
17,2022/11/12 13:00:00+00,600 Mozart Way,LARCENY,,M,37,,,,,,
18,2022/11/12 00:00:00+00,4200 WOODLEA AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,63,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,FRANKFORD,39.3338,-76.5562
19,2022/11/12 19:30:00+00,800 HOLLINS ST,ROBBERY,HANDGUN,M,29,,,SOUTHERN,HOLLINS MARKET,39.2881,-76.6287
20,2022/11/12 16:48:00+00,3600 ELMLEY AVE,ROBBERY,PERSONAL_WEAPONS,M,16,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,BELAIR-EDISON,39.3172,-76.5695
21,2022/10/29 05:30:00+00,2800 FREDERICK AVE,AGG. ASSAULT,PERSONAL_WEAPONS,F,45,BLACK_OR_AFRICAN_AMERICAN,,SOUTHWEST,GWYNNS FALLS,39.2796,-76.6632
22,2022/10/29 07:15:00+00,5700 JONQUIL AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,27,BLACK_OR_AFRICAN_AMERICAN,,NORTHWEST,GLEN,39.3519,-76.6886
23,2022/10/29 07:45:00+00,900 N BROADWAY,ROBBERY,PERSONAL_WEAPONS,F,25,BLACK_OR_AFRICAN_AMERICAN,,EASTERN,GAY STREET,39.301,-76.5946
24,2022/10/29 16:00:00+00,1500 RUSSELL ST,AUTO THEFT,,F,26,BLACK_OR_AFRICAN_AMERICAN,,SOUTHERN,CARROLL - CAMDEN INDUSTRIAL AREA,39.2742,-76.6279
25,2022/10/29 12:00:00+00,300 W CAMDEN ST,AUTO THEFT,,M,21,,,CENTRAL,STADIUM AREA,39.2852,-76.6197
26,2022/10/29 20:14:00+00,1000 W 41ST ST,ROBBERY,FIREARM,M,36,BLACK_OR_AFRICAN_AMERICAN,,NORTHERN,HOES HEIGHTS,39.3375,-76.6345
27,2022/10/29 20:32:00+00,1600 N FULTON AVE,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,M,35,,,WESTERN,SANDTOWN-WINCHESTER,39.3071,-76.6461
28,2022/10/29 21:30:00+00,4900 LOCH RAVEN BLVD,LARCENY,,M,61,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,STONEWOOD-PENTWOOD-WINSTON,39.3501,-76.5911
29,2022/10/29 18:00:00+00,400 W 29TH ST,AUTO THEFT,,F,71,BLACK_OR_AFRICAN_AMERICAN,,NORTHERN,REMINGTON,39.3214,-76.6238
30,2022/10/29 16:00:00+00,4500 KESWICK RD,LARCENY,,F,41,WHITE,,NORTHERN,EVERGREEN,39.3447,-76.6299
31,2022/10/29 20:00:00+00,1700 THAMES ST,LARCENY,,M,41,WHITE,,SOUTHEAST,FELLS POINT,39.2819,-76.5923
32,2022/10/29 21:00:00+00,2200 MARYLAND AVE,AUTO THEFT,,M,48,,,NORTHERN,OLD GOUCHER,39.3142,-76.6181
33,2022/10/29 08:15:00+00,1500 LESTER MORTON CT,COMMON ASSAULT,PERSONAL_WEAPONS,F,37,BLACK_OR_AFRICAN_AMERICAN,,EASTERN,GAY STREET,39.2987,-76.5971
34,2022/10/29 17:00:00+00,1600 GLENEAGLE RD,AUTO THEFT,,M,31,,,NORTHEAST,LOCH RAVEN,39.3606,-76.5842
35,2022/10/29 23:00:00+00,1500 BURNWOOD RD,LARCENY,,M,61,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,PERRING LOCH,39.3539,-76.5879
36,2022/10/29 17:00:00+00,900 BRADDISH AV,LARCENY,,F,30,BLACK_OR_AFRICAN_AMERICAN,,WESTERN,MOSHER,39.2987,-76.6598
37,2022/10/29 17:00:00+00,1600 WAVERLY WAY,AUTO THEFT,,F,33,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,LOCH RAVEN,39.365,-76.5823
38,2022/10/29 17:00:00+00,600 N ROSEDALE ST,LARCENY FROM AUTO,,F,35,BLACK_OR_AFRICAN_AMERICAN,,SOUTHWEST,FRANKLINTOWN ROAD,39.2946,-76.6686
39,2022/10/29 15:14:00+00,1600 BOLTON ST,LARCENY,,F,23,,,CENTRAL,BOLTON HILL,39.308,-76.6271
40,2022/10/29 15:00:00+00,6400 HARTWAIT ST,COMMON ASSAULT,PERSONAL_WEAPONS,M,28,WHITE,,SOUTHEAST,BROENING MANOR,39.2744,-76.5365
41,2022/10/29 15:00:00+00,6400 HARTWAIT ST,COMMON ASSAULT,PERSONAL_WEAPONS,M,64,BLACK_OR_AFRICAN_AMERICAN,,SOUTHEAST,BROENING MANOR,39.2744,-76.5365
42,2022/10/16 18:30:00+00,3600 W FOREST PARK AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,38,BLACK_OR_AFRICAN_AMERICAN,,NORTHWEST,FOREST PARK,39.3249,-76.6774
43,2022/10/16 19:25:00+00,200 KEY HWY,COMMON ASSAULT,,M,61,WHITE,,CENTRAL,INNER HARBOR,39.2808,-76.6112
44,2022/10/16 08:00:00+00,300 S POPPLETON ST,LARCENY,,F,55,,,SOUTHERN,WASHINGTON VILLAGE/PIGTOWN,39.2846,-76.6318
45,2022/10/16 23:00:00+00,3600 CLAREMONT ST,LARCENY FROM AUTO,,M,46,WHITE,,SOUTHEAST,HIGHLANDTOWN,39.2895,-76.5673
46,2022/10/16 23:00:00+00,2700 GILES RD,BURGLARY,,F,26,BLACK_OR_AFRICAN_AMERICAN,,SOUTHERN,CHERRY HILL,39.2495,-76.6306
47,2022/10/16 20:00:00+00,2900 E MADISON ST,AGG. ASSAULT,PERSONAL_WEAPONS,F,16,BLACK_OR_AFRICAN_AMERICAN,,EASTERN,MADISON-EASTEND,39.3002,-76.5761
48,2022/10/16 17:00:00+00,1000 HIGNET WY,AUTO THEFT,,F,35,NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER,,NORTHEAST,ARMISTEAD GARDENS,39.3041,-76.5461
49,2022/10/16 19:30:00+00,600 DUMBARTON AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,46,BLACK_OR_AFRICAN_AMERICAN,,NORTHERN,PEN LUCY,39.3382,-76.605
50,2022/10/16 19:45:00+00,4000 EIERMAN AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,27,WHITE,,NORTHEAST,ARCADIA,39.3301,-76.5662
51,2022/10/16 00:30:00+00,1400 E FAYETTE ST,COMMON ASSAULT,,F,21,BLACK_OR_AFRICAN_AMERICAN,,SOUTHEAST,WASHINGTON HILL,39.2928,-76.5981
52,2022/10/16 18:00:00+00,2600 GUILFORD AVE,LARCENY,,M,28,WHITE,,NORTHERN,HARWOOD,39.3198,-76.6129
53,2022/10/16 20:25:00+00,6600 BELAIR RD,ROBBERY,KNIFE_CUTTING_INSTRUMENT,F,30,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,CEDMONT,39.3544,-76.531
54,2022/10/16 17:00:00+00,2900 SOUTHLAND AVE,AUTO THEFT,,M,31,BLACK_OR_AFRICAN_AMERICAN,,SOUTHERN,CHERRY HILL,39.2505,-76.6193
55,2022/10/16 20:59:00+00,3200 W NORTH AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,25,BLACK_OR_AFRICAN_AMERICAN,,SOUTHWEST,WALBROOK,39.309,-76.671
56,2022/10/16 20:30:00+00,500 W HOFFMAN ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,53,BLACK_OR_AFRICAN_AMERICAN,,CENTRAL,UPTON,39.3001,-76.6268
57,2022/10/16 19:00:00+00,200 S BROADWAY,LARCENY,,F,22,BLACK_OR_AFRICAN_AMERICAN,,SOUTHEAST,FELLS POINT,39.2889,-76.5938
58,2022/10/16 22:00:00+00,4600 BAYONNE AVE,AUTO THEFT,,F,42,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,FRANKFORD,39.3412,-76.5376
59,2022/10/16 19:00:00+00,900 SAINT PAUL ST,LARCENY,,M,39,,,CENTRAL,MOUNT VERNON,39.3002,-76.6143
60,2022/10/04 13:00:00+00,6000 MORAVIA PARK DR,AGG. ASSAULT,FIREARM,F,7,WHITE,,NORTHEAST,FRANKFORD,39.3162,-76.5433
61,2022/10/04 13:00:00+00,4800 PIMLICO RD,COMMON ASSAULT,PERSONAL_WEAPONS,M,11,BLACK_OR_AFRICAN_AMERICAN,,NORTHWEST,CYLBURN,39.3478,-76.6687
62,2022/10/04 23:00:00+00,4800 NORWOOD AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,22,,,NORTHWEST,HOWARD PARK,39.3292,-76.6975
63,2022/10/04 22:00:00+00,3700 YOLANDO RD,LARCENY FROM AUTO,,M,57,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,EDNOR GARDENS-LAKESIDE,39.3333,-76.6002
64,2022/10/04 05:00:00+00,3600 WABASH AVE,BURGLARY,,F,23,BLACK_OR_AFRICAN_AMERICAN,,NORTHWEST,ASHBURTON,39.3269,-76.6649
65,2022/10/04 23:00:00+00,0 W TALBOTT ST,COMMON ASSAULT,PERSONAL_WEAPONS,M,23,BLACK_OR_AFRICAN_AMERICAN,,SOUTHERN,BROOKLYN,39.2362,-76.6115
66,2022/10/04 20:50:00+00,2400 LOYOLA NORTHWAY,LARCENY,,F,31,BLACK_OR_AFRICAN_AMERICAN,,NORTHERN,GREENSPRING,39.3382,-76.6584
67,2022/10/04 22:05:00+00,0 S GREENE ST,COMMON ASSAULT,,F,47,BLACK_OR_AFRICAN_AMERICAN,,CENTRAL,UNIVERSITY OF MARYLAND,39.2884,-76.6237
68,2022/10/04 20:00:00+00,200 DOUGLASS CT,LARCENY,,F,59,BLACK_OR_AFRICAN_AMERICAN,,EASTERN,DUNBAR-BROADWAY,39.2946,-76.597
69,2022/10/04 00:00:00+00,5200 YORK RD,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,F,21,BLACK_OR_AFRICAN_AMERICAN,,NORTHERN,YORK-HOMELAND,39.3534,-76.6099
70,2022/10/04 22:00:00+00,4900 ALSON DR,BURGLARY,,,,,,SOUTHWEST,WEST HILLS,39.2931,-76.7051
71,2022/10/04 04:04:00+00,5900 BELAIR RD,LARCENY,,,,,,NORTHEAST,CEDMONT,39.3452,-76.5414
72,2022/10/04 08:30:00+00,2700 W FRANKLIN ST,LARCENY,,,,,,SOUTHWEST,PENROSE/FAYETTE STREET OUTREACH,39.293,-76.6615
73,2022/10/04 18:00:00+00,4100 PULASKI HWY,LARCENY,,,,,,EASTERN,KRESSON,39.297,-76.563
74,2022/10/04 23:30:00+00,1500 S CATON AVE,LARCENY,,,,,,SOUTHWEST,MORRELL PARK,39.2616,-76.6652
75,2022/10/04 02:00:00+00,5600 ODONNELL ST,BURGLARY,,,,,,SOUTHEAST,MEDFORD,39.2812,-76.5481
76,2022/10/04 02:00:00+00,5600 ODONNELL ST,AUTO THEFT,,,,,,SOUTHEAST,MEDFORD,39.2812,-76.5481
77,2022/10/04 22:30:00+00,300 ALBEMARLE ST,AUTO THEFT,,F,56,,,SOUTHEAST,LITTLE ITALY,39.286,-76.6023
78,2022/10/04 02:00:00+00,5600 ODONNELL ST,BURGLARY,,M,65,WHITE,,SOUTHEAST,MEDFORD,39.2812,-76.5481
79,2022/10/04 10:58:00+00,1000 S CHARLES ST,LARCENY,,,,,,SOUTHERN,FEDERAL HILL,39.278,-76.6145
80,2022/11/12 20:00:00+00,200 N CHARLES ST,LARCENY,,M,39,BLACK_OR_AFRICAN_AMERICAN,,CENTRAL,DOWNTOWN,39.2918,-76.6153
81,2022/11/12 02:00:00+00,100 W OSTEND ST,AUTO THEFT,,M,24,WHITE,,SOUTHERN,SHARP-LEADENHALL,39.2748,-76.6155
82,2022/11/12 21:00:00+00,CAROLINE ST & E FAYETTE ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,66,BLACK_OR_AFRICAN_AMERICAN,,SOUTHEAST,WASHINGTON HILL,39.2932,-76.5973
83,2022/11/12 21:20:00+00,100 N SCHROEDER ST,AUTO THEFT,,M,21,BLACK_OR_AFRICAN_AMERICAN,,WESTERN,POPPLETON,39.29,-76.6338
84,2022/11/12 19:30:00+00,4900 LIBERTY HEIGHTS AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,20,BLACK_OR_AFRICAN_AMERICAN,,NORTHWEST,HOWARD PARK,39.3324,-76.6986
85,2022/11/12 21:53:00+00,3400 KENYON AVE,COMMON ASSAULT,OTHER,F,57,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,BELAIR-EDISON,39.3221,-76.5649
86,2022/11/12 20:00:00+00,1600 WADSWORTH WAY,COMMON ASSAULT,,F,19,BLACK_OR_AFRICAN_AMERICAN,,,,,
87,2022/11/12 20:00:00+00,1200 W CROSS ST,AUTO THEFT,,F,35,BLACK_OR_AFRICAN_AMERICAN,,SOUTHERN,WASHINGTON VILLAGE/PIGTOWN,39.2825,-76.6322
88,2022/11/12 10:55:00+00,1300 W LOMBARD ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,20,BLACK_OR_AFRICAN_AMERICAN,,SOUTHERN,UNION SQUARE,39.2866,-76.6381
89,2022/11/12 19:30:00+00,2400 N CHARLES ST,LARCENY,,,,,,NORTHERN,OLD GOUCHER,39.3164,-76.6168
90,2022/11/12 11:05:00+00,1600 RUXTON AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,49,BLACK_OR_AFRICAN_AMERICAN,,WESTERN,COPPIN HEIGHTS/ASH-CO-EAST,39.3065,-76.655
91,2022/11/12 00:00:00+00,2600 E CHASE ST,AGG. ASSAULT,PERSONAL_WEAPONS,F,31,,,EASTERN,BIDDLE STREET,39.3038,-76.5808
92,2022/11/12 20:00:00+00,600 S CHARLES ST,LARCENY,,M,23,ASIAN,,SOUTHERN,OTTERBEIN,39.282,-76.6147
93,2022/11/12 03:25:00+00,500 SHERIDAN AVE,AGG. ASSAULT,,F,40,BLACK_OR_AFRICAN_AMERICAN,,NORTHERN,WOODBOURNE-MCCABE,39.3545,-76.6093
94,2022/11/12 11:44:00+00,2500 N CHARLES ST,LARCENY,,,,,,NORTHERN,CHARLES VILLAGE,39.3182,-76.6171
95,2022/11/12 15:51:00+00,1200 N CHARLES ST,LARCENY,,,,,,CENTRAL,MID-TOWN BELVEDERE,39.3035,-76.616
96,2022/11/12 12:04:00+00,700 S CENTRAL AVE,LARCENY,,,,,,SOUTHEAST,INNER HARBOR,39.2832,-76.599
97,2022/11/12 17:05:00+00,900 W 36TH ST,LARCENY,,,,,,NORTHERN,HAMPDEN,39.3312,-76.6315
98,2022/11/12 18:15:00+00,4600 LIBERTY HEIGHTS AVE,LARCENY,,,,,,NORTHWEST,HOWARD PARK,39.3309,-76.6943
99,2022/11/12 10:50:00+00,3500 HARFORD RD,BURGLARY,,,,,,NORTHEAST,MAYFIELD,39.3298,-76.5818
100,2022/11/12 01:43:00+00,600 SAVAGE ST,COMMON ASSAULT,,F,15,BLACK_OR_AFRICAN_AMERICAN,,SOUTHEAST,GREEKTOWN,39.2861,-76.5521
101,2022/11/12 03:19:00+00,1600 RALWORTH RD,COMMON ASSAULT,PERSONAL_WEAPONS,F,35,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,HILLEN,39.3392,-76.5898
102,2022/09/22 12:41:00+00,0 S HIGHLAND AVE,LARCENY,,F,33,BLACK_OR_AFRICAN_AMERICAN,,SOUTHEAST,PATTERSON PARK NEIGHBORHOOD,39.2921,-76.5694
103,2022/09/22 15:50:00+00,5100 SUNSET RD,COMMON ASSAULT,PERSONAL_WEAPONS,M,14,BLACK_OR_AFRICAN_AMERICAN,,NORTHERN,LEVINDALE,39.3519,-76.6647
104,2022/09/22 19:00:00+00,2600 E MONUMENT ST,BURGLARY,,F,19,,,EASTERN,MCELDERRY PARK,39.2989,-76.5801
